first_field;image_html;french;french_audio_html;spanish
paper - french;"<img src=""vocab-paper.jpg"">";papier;[sound:vocab-french-papier.mp3];papel
parent - french;"<img src=""vocab-parent.jpg"">";parent;[sound:vocab-french-parent.mp3];padre
park - french;"<img src=""vocab-park.jpg"">";parc;[sound:vocab-french-parc.mp3];parque
pass - french;"<img src=""vocab-pass.jpg"">";passer;[sound:vocab-french-passer.mp3];pasar
patient - french;"<img src=""vocab-patient.jpg"">";patient;[sound:vocab-french-patient.mp3];paciente
pattern - french;"<img src=""vocab-pattern.jpg"">";modèle;[sound:vocab-french-modèle.mp3];patrón
pay - french;"<img src=""vocab-pay.jpg"">";payer;[sound:vocab-french-payer.mp3];pagar
peace - french;"<img src=""vocab-peace.jpg"">";paix;[sound:vocab-french-paix.mp3];paz
pen - french;"<img src=""vocab-pen.jpg"">";stylo;[sound:vocab-french-stylo.mp3];bolígrafo
pencil - french;"<img src=""vocab-pencil.jpg"">";crayon;[sound:vocab-french-crayon.mp3];lápiz
person - french;"<img src=""vocab-person.jpg"">";personne;[sound:vocab-french-personne.mp3];persona
photograph - french;"<img src=""vocab-photograph.jpg"">";photographie;[sound:vocab-french-photographie.mp3];fotografía
piece - french;"<img src=""vocab-piece.jpg"">";pièce;[sound:vocab-french-pièce.mp3];pieza
pig - french;"<img src=""vocab-pig.jpg"">";porc;[sound:vocab-french-porc.mp3];cerdo
pink - french;"<img src=""vocab-pink.jpg"">";rose;[sound:vocab-french-rose.mp3];rosado
plane - french;"<img src=""vocab-plane.jpg"">";avion;[sound:vocab-french-avion.mp3];avión
plant - french;"<img src=""vocab-plant.jpg"">";plante;[sound:vocab-french-plante.mp3];planta
plastic - french;"<img src=""vocab-plastic.jpg"">";plastique;[sound:vocab-french-plastique.mp3];plástico
plate - french;"<img src=""vocab-plate.jpg"">";plat;[sound:vocab-french-plat.mp3];plato
play - french;"<img src=""vocab-play.jpg"">";jouer;[sound:vocab-french-jouer.mp3];jugar
player - french;"<img src=""vocab-player.jpg"">";joueur;[sound:vocab-french-joueur.mp3];jugador
pocket - french;"<img src=""vocab-pocket.jpg"">";poche;[sound:vocab-french-poche.mp3];bolsillo
poison - french;"<img src=""vocab-poison.jpg"">";poison;[sound:vocab-french-poison.mp3];veneno
police - french;"<img src=""vocab-police.jpg"">";police;[sound:vocab-french-police.mp3];policía
pool - french;"<img src=""vocab-pool.jpg"">";bassin;[sound:vocab-french-bassin.mp3];piscina
poor - french;"<img src=""vocab-poor.jpg"">";pauvre;[sound:vocab-french-pauvre.mp3];pobre
pork - french;"<img src=""vocab-pork.jpg"">";porc;[sound:vocab-french-porc.mp3];cerdo
pray - french;"<img src=""vocab-pray.jpg"">";prier;[sound:vocab-french-prier.mp3];orar
president - french;"<img src=""vocab-president.jpg"">";président;[sound:vocab-french-président.mp3];presidente
price - french;"<img src=""vocab-price.jpg"">";prix;[sound:vocab-french-prix.mp3];precio
priest - french;"<img src=""vocab-priest.jpg"">";prêtre;[sound:vocab-french-prêtre.mp3];sacerdote
